,CID,Name,Party,last_name,first_name,crp_web_format
79,N00042894,"Dean, Madeleine",D,Dean,Madeleine,Madeleine-Dean
80,N00007781,"DeFazio, Peter",D,DeFazio,Peter,Peter-DeFazio
81,N00006134,"DeGette, Diana",D,DeGette,Diana,Diana-DeGette
82,N00030693,"DelBene, Suzan",D,DelBene,Suzan,Suzan-DelBene
83,N00040741,"Delgado, Antonio",D,Delgado,Antonio,Antonio-Delgado
84,N00033449,"Demings, Val",D,Demings,Val,Val-Demings
85,N00031317,"Deutch, Ted",D,Deutch,Ted,Ted-Deutch
86,N00025337,"Diaz-Balart, Mario",R,Diaz-Balart,Mario,Mario-Diaz-Balart
87,N00036149,"Dingell, Debbie",D,Dingell,Debbie,Debbie-Dingell
88,N00006023,"Doggett, Lloyd",D,Doggett,Lloyd,Lloyd-Doggett
89,N00030752,"Duncan, Jeff",R,Duncan,Jeff,Jeff-Duncan
90,N00037442,"Dunn, Neal",R,Dunn,Neal,Neal-Dunn
91,N00035440,"Emmer, Tom",R,Emmer,Tom,Tom-Emmer
92,N00041702,"Escobar, Veronica",D,Escobar,Veronica,Veronica-Escobar
93,N00034549,"Espaillat, Adriano",D,Espaillat,Adriano,Adriano-Espaillat
94,N00040712,"Estes, Ron",R,Estes,Ron,Ron-Estes
95,N00038450,"Evans, Dwight",D,Evans,Dwight,Dwight-Evans
96,N00007364,"Feinstein, Dianne",D,Feinstein,Dianne,Dianne-Feinstein
97,N00040888,"Finkenauer, Abby",D,Finkenauer,Abby,Abby-Finkenauer
98,N00033443,"Fischer, Deb",R,Fischer,Deb,Deb-Fischer
99,N00038779,"Fitzpatrick, Brian",R,Fitzpatrick,Brian,Brian-Fitzpatrick
100,N00030815,"Fleischmann, Chuck",R,Fleischmann,Chuck,Chuck-Fleischmann
101,N00041194,"Fletcher, Lizzie",D,Fletcher,Lizzie,Lizzie-Fletcher
102,N00031545,"Flores, Bill",R,Flores,Bill,Bill-Flores
103,N00026631,"Fortenberry, Jeff",R,Fortenberry,Jeff,Jeff-Fortenberry
104,N00029139,"Foster, Bill",D,Foster,Bill,Bill-Foster
105,N00026166,"Foxx, Virginia",R,Foxx,Virginia,Virginia-Foxx
106,N00041335,"Fulcher, Russ",R,Fulcher,Russ,Russ-Fulcher
107,N00033281,"Gabbard, Tulsi",D,Gabbard,Tulsi,Tulsi-Gabbard
108,N00039503,"Gaetz, Matt",R,Gaetz,Matt,Matt-Gaetz
109,N00039330,"Gallagher, Mike",R,Gallagher,Mike,Mike-Gallagher
110,N00036097,"Gallego, Ruben",D,Gallego,Ruben,Ruben-Gallego
111,N00030856,"Garamendi, John",D,Garamendi,John,John-Garamendi
112,N00042282,"Garcia, Sylvia",D,Garcia,Sylvia,Sylvia-Garcia
