Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
160,Katherine Clark (D-Mass),"$1,714,158","$3,762,079","$5,810,000",House
161,Jeanne Shaheen (D-NH),"$276,032","$3,718,010","$7,159,988",Senate
163,Roy Blunt (R-Mo),"$914,022","$3,637,010","$6,359,998",Senate
165,Bob Goodlatte (R-Va),"$2,136,050","$3,563,525","$4,991,000",House
166,Doug LaMalfa (R-Calif),"$1,281,008","$3,498,504","$5,716,000",House
167,Judy Chu (D-Calif),"$1,864,049","$3,474,524","$5,084,999",House
168,Sheila Jackson Lee (D-Texas),"$913,017","$3,451,005","$5,988,994",House
169,Chellie Pingree (D-Maine),"$1,300,003","$3,450,001","$5,600,000",House
170,Maria Cantwell (D-Wash),"$1,223,011","$3,439,505","$5,655,999",Senate
171,David P Joyce (R-Ohio),"$1,780,085","$3,390,042","$5,000,000",House
172,James P McGovern (D-Mass),"$1,219,009","$3,389,504","$5,560,000",House
173,Ted Cruz (R-Texas),"$1,947,039","$3,388,518","$4,829,998",Senate
174,Phil Roe (R-Tenn),"$3,174,454","$3,369,451","$3,564,449",House
175,David Price (D-NC),"$1,788,085","$3,366,542","$4,945,000",House
176,Louise M Slaughter (D-NY),"$2,093,027","$3,344,013","$4,595,000",House
177,Robert A Brady (D-Pa),"$2,161,014","$3,288,507","$4,416,000",House
179,Susan Collins (R-Maine),"$1,632,099","$3,260,049","$4,888,000",Senate
180,Frank Pallone Jr (D-NJ),"$1,492,143","$3,241,571","$4,990,999",House
182,Barbara Boxer (D-Calif),"$1,097,007","$3,189,003","$5,281,000",Senate
183,Patrick Murphy (D-Fla),"$1,072,010","$3,163,505","$5,255,000",House
184,Robert B Aderholt (R-Ala),"$526,019","$3,146,009","$5,765,999",House
185,Daniel Lipinski (D-Ill),"$1,823,048","$3,109,024","$4,395,000",House
186,Tom Udall (D-NM),"$1,861,042","$3,103,021","$4,345,000",Senate
187,Loretta Sanchez (D-Calif),"$552,005","$3,091,001","$5,629,998",House
188,Sam Farr (D-Calif),"$1,811,037","$3,063,518","$4,315,999",House
189,Sander Levin (D-Mich),"$3,037,409","$3,054,908","$3,072,408",House
190,Bill Pascrell Jr (D-NJ),"$1,809,043","$3,048,521","$4,288,000",House
191,Ben Cardin (D-Md),"$1,431,112","$3,004,556","$4,578,000",Senate
192,John Boozman (R-Ark),"$1,435,050","$2,955,024","$4,474,999",Senate
193,Greg Walden (R-Ore),"$1,752,030","$2,917,015","$4,082,000",House
194,Andy Harris (R-Md),"$1,618,045","$2,907,022","$4,196,000",House
195,Jeff Merkley (D-Ore),"$1,836,028","$2,900,514","$3,965,000",Senate
196,Dan Sullivan (R-Alaska),"$1,347,040","$2,849,018","$4,350,997",Senate
197,Thomas Massie (R-Ky),"$752,003","$2,841,001","$4,929,999",House
198,Robert E Latta (R-Ohio),"$1,636,042","$2,813,021","$3,990,000",House
199,Dan Benishek (R-Mich),"$1,503,072","$2,763,536","$4,024,000",House
200,Mike Rounds (R-SD),"$1,850,032","$2,742,516","$3,635,000",Senate
201,Tim Kaine (D-Va),"$1,516,073","$2,728,536","$3,941,000",Senate
202,Randy Forbes (R-Va),"$86,012","$2,713,005","$5,339,998",House
203,Mazie K Hirono (D-Hawaii),"$1,265,039","$2,704,518","$4,143,998",Senate
204,David Scott (D-Ga),"$531,004","$2,698,001","$4,864,999",House
206,Richard Burr (R-NC),"$1,947,274","$2,636,270","$3,325,266",Senate
207,Shelley Moore Capito (R-WVa),"$885,119","$2,635,057","$4,384,995",Senate
208,Mick Mulvaney (R-SC),"$941,070","$2,632,033","$4,322,997",House
209,Pat Roberts (R-Kan),"$1,426,027","$2,613,513","$3,800,999",Senate
210,Zoe Lofgren (D-Calif),"$1,491,045","$2,603,022","$3,715,000",House
211,Bill Keating (D-Mass),"$1,486,040","$2,602,020","$3,718,000",House
212,Chuck Fleischmann (R-Tenn),"$2,003,934","$2,528,929","$3,053,925",House
213,Mike Simpson (R-Idaho),"$1,241,063","$2,404,031","$3,567,000",House
214,Lois J Frankel (D-Fla),"$828,166","$2,396,583","$3,965,000",House
215,Michael E Capuano (D-Mass),"$1,079,041","$2,368,019","$3,656,997",House
216,Bill Nelson (D-Fla),"-$307,976","$2,349,011","$5,005,998",Senate
217,Bob Gibbs (R-Ohio),"$872,069","$2,326,033","$3,779,997",House
218,Diana DeGette (D-Colo),"$1,230,063","$2,310,031","$3,390,000",House
219,Anna Eshoo (D-Calif),"$1,431,011","$2,273,505","$3,116,000",House
220,Gerry Connolly (D-Va),"$803,051","$2,259,023","$3,714,995",House
221,Bill Cassidy (R-La),"$1,207,060","$2,218,530","$3,230,000",Senate
222,Brian Babin (R-Texas),"$1,071,084","$2,206,542","$3,342,000",House
223,Juan Vargas (D-Calif),"$808,031","$2,184,014","$3,559,998",House
224,Ed Markey (D-Mass),"$1,304,025","$2,182,512","$3,061,000",Senate
225,Mike Thompson (D-Calif),"$1,097,013","$2,114,006","$3,130,999",House
226,Rob Wittman (R-Va),"$575,116","$2,106,557","$3,637,998",House
227,Eleanor Holmes Norton (D-DC),"$1,380,040","$2,090,520","$2,801,000",House
228,Don Norcross (D-NJ),"$954,058","$2,082,528","$3,210,998",House
229,Ted Yoho (R-Fla),"$1,365,526","$2,075,022","$2,784,518",House
230,Jeb Hensarling (R-Texas),"$1,192,033","$2,049,016","$2,906,000",House
231,Susan A Davis (D-Calif),"$673,043","$2,009,020","$3,344,998",House
232,Ann Mclane Kuster (D-NH),"$1,752,619","$1,977,617","$2,202,616",House
233,Dick Durbin (D-Ill),"$1,951,506","$1,952,006","$1,952,506",Senate
234,Pete Olson (R-Texas),"$1,079,043","$1,920,021","$2,761,000",House
235,Mike D Rogers (R-Ala),"$1,170,018","$1,910,009","$2,650,000",House
236,Alan Lowenthal (D-Calif),"$948,054","$1,860,527","$2,773,000",House
237,Candice S Miller (R-Mich),"$991,024","$1,854,011","$2,716,999",House
238,Ken Calvert (R-Calif),"-$6,299,988","$1,825,002","$9,949,993",House
239,Ander Crenshaw (R-Fla),"$1,048,015","$1,796,507","$2,545,000",House
241,Julia Brownley (D-Calif),"$486,037","$1,764,518","$3,042,999",House
242,Justin Amash (R-Mich),"$1,043,024","$1,756,512","$2,470,000",House
243,Jim Langevin (D-RI),"$187,024","$1,753,509","$3,319,994",House
244,Adam Schiff (D-Calif),"$867,043","$1,736,021","$2,605,000",House
245,Xavier Becerra (D-Calif),"$683,061","$1,727,029","$2,770,998",House
246,Charles B Rangel (D-NY),"$1,009,021","$1,709,510","$2,410,000",House
247,Kay Granger (R-Texas),"$831,014","$1,690,506","$2,549,998",House
248,Jon Tester (D-Mont),"$1,082,007","$1,656,003","$2,230,000",Senate
249,Ron Kind (D-Wis),"$1,033,022","$1,652,511","$2,272,000",House
250,Jim McDermott (D-Wash),"$1,388,495","$1,652,493","$1,916,492",House
251,Lisa Murkowski (R-Alaska),"$881,039","$1,599,519","$2,318,000",Senate
252,Jeff Miller (R-Fla),"$1,012,012","$1,596,005","$2,179,998",House
253,David Vitter (R-La),"$818,043","$1,570,521","$2,323,000",Senate
254,Collin Peterson (D-Minn),"$529,020","$1,570,008","$2,610,997",House
255,Frederica Wilson (D-Fla),"$961,012","$1,563,006","$2,165,000",House
256,Marlin Stutzman (R-Ind),"$914,018","$1,554,508","$2,194,999",House
257,Barbara Comstock (R-Va),"$676,053","$1,552,025","$2,427,997",House
258,Pete Visclosky (D-Ind),"$922,019","$1,551,009","$2,180,000",House
259,Patty Murray (D-Wash),"$899,019","$1,542,509","$2,186,000",Senate
260,Evan Jenkins (R-WVa),"$693,057","$1,520,528","$2,348,000",House
261,Frank D Lucas (R-Okla),"$650,014","$1,505,005","$2,359,997",House
262,Luis V Gutierrez (D-Ill),"$876,024","$1,495,512","$2,115,000",House
263,Michael Burgess (R-Texas),"$809,060","$1,494,030","$2,179,000",House
264,Grace Meng (D-NY),"$714,043","$1,491,521","$2,268,999",House
265,Ben Sasse (R-Neb),"$462,056","$1,484,027","$2,505,999",Senate
266,Aaron Schock (R-Ill),"$600,005","$1,475,001","$2,349,998",House
267,Doris O Matsui (D-Calif),"$812,023","$1,421,511","$2,031,000",House
268,Gary Palmer (R-Ala),"$330,100","$1,417,049","$2,503,999",House
269,Carlos Curbelo (R-Fla),"$524,087","$1,399,543","$2,274,999",House
270,Sam Graves (R-Mo),"$587,008","$1,389,002","$2,190,997",House
272,Lou Barletta (R-Pa),"-$38,939","$1,364,029","$2,766,998",House
273,Joe Pitts (R-Pa),"$861,008","$1,338,004","$1,815,000",House
274,Bradley Byrne (R-Ala),"$664,053","$1,327,525","$1,990,998",House
275,Cresent Hardy (R-Nev),"-$3,203,990","$1,323,004","$5,849,998",House
276,Mike Bishop (R-Mich),"$644,060","$1,315,030","$1,986,000",House
