,chamber,member_name,party,net_worth_2010,net_worth_2011,2011_net_increase,net_worth_2012,2012_net_increase,net_worth_2013,2013_net_increase,net_worth_2014,2014_net_increase,net_worth_2015,2015_net_increase,net_worth_2016,2016_net_increase,defense_friendliness_rating_2010,defense_friendliness_rating_2012,defense_friendliness_rating_2014,defense_friendliness_rating_2016,energy_friendliness_rating_2010,energy_friendliness_rating_2012,energy_friendliness_rating_2014,energy_friendliness_rating_2016,tech_comm_friendliness_rating_2010,tech_comm_friendliness_rating_2012,tech_comm_friendliness_rating_2014,tech_comm_friendliness_rating_2016,health_friendliness_rating_2010,health_friendliness_rating_2012,health_friendliness_rating_2014,health_friendliness_rating_2016,finance_friendliness_rating_2010,finance_friendliness_rating_2012,finance_friendliness_rating_2014,finance_friendliness_rating_2016,2010_friendliness_avg,2012_friendliness_avg,2014_friendliness_avg,2016_friendliness_avg
561,House,"Poe, Ted",R,136507.0,337006.0,146.87818207124909,446006.0,32.34363779873355,254506.0,-42.9366421079537,295007.0,15.913573746787895,445008.0,50.84659008091334,1126508.0,153.14331427749613,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.6,2.8,2.6,2.6
562,Senate,"Wicker, Roger",R,133008.0,299508.0,125.18044027426922,660508.0,120.53100418018884,508010.0,-23.087986822264075,286006.0,-43.70071455286313,1218009.0,325.8683384264666,1077508.0,-11.535300642277685,5.0,5.0,1.0,3.0,4.0,5.0,1.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,3.6,4.8,1.4,2.0
563,Senate,"Leahy, Patrick",D,129503.0,129503.0,0.0,129503.0,0.0,257003.0,98.45331768376022,257003.0,0.0,257003.0,0.0,257003.0,0.0,5.0,3.0,2.0,5.0,3.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.6,2.0,4.0
564,House,"Lamborn, Douglas",R,129503.0,-118997.0,-191.88744662285814,88504.0,-174.37498424330025,322505.0,264.3959595046552,178503.0,-44.65109068076464,391504.0,119.3262858327311,0.0,-100.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.4,3.0,2.6,2.6
565,House,"Neal, Richard",D,126505.0,126505.0,0.0,166505.0,31.619303584838544,141505.0,-15.014564127203386,166005.0,17.31387583477616,241004.0,45.178759675913376,265004.0,9.95834094039933,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.2,4.2,4.4,4.2
566,House,"McIntyre, Mike",D,124503.0,124503.0,0.0,106503.0,-14.457482952218017,106503.0,0.0,,,74002.0,,,,,5.0,4.0,,3.0,4.0,3.0,,3.0,4.0,1.0,,4.0,4.0,2.0,,3.0,4.0,2.0,,3.25,4.2,2.4,
567,House,"Mckeon, Howard",R,117500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,House,"Young, C.",R,115501.0,115501.0,0.0,415501.0,259.7380109263123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,House,"Capps, Lois",D,113006.0,98006.0,-13.273631488593526,98006.0,0.0,115006.0,17.3458767830541,122506.0,6.521398883536511,107506.0,-12.244298238453627,,,3.0,3.0,3.0,1.0,1.0,2.0,2.0,,4.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,2.6,3.6,3.4,1.0
570,House,"Wu, David",D,110004.0,-45000.0,-140.9076033598778,,,,,,,,,,,,1.0,,,1.0,1.0,,,4.0,2.0,,,3.0,1.0,,,3.0,1.0,,,2.75,1.2,,
571,House,"Gardner, Cory",R,105506.0,107507.0,1.896574602392281,132007.0,22.789213725617866,,,,,,,,,,3.0,4.0,3.0,,5.0,5.0,4.0,,5.0,5.0,4.0,,4.0,5.0,1.0,,4.0,5.0,2.0,,4.2,4.8,2.8
572,House,"Davis, Geoff",R,105502.0,105502.0,0.0,,,,,,,,,,,4.0,3.0,,,4.0,3.0,,,4.0,1.0,,,5.0,4.0,,,4.0,2.0,,,4.2,2.6,,
573,House,"Clarke, Yvette",D,105003.0,105003.0,0.0,105003.0,0.0,115501.0,9.99780958639277,115501.0,0.0,83001.0,-28.13828451701717,83001.0,0.0,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.4,2.0,2.6
