Candidate,Amount
"Price, Tom (R-GA)","$37,000"
"Sewell, Terri A (D-AL)","$36,750"
"Brooks, Susan (R-IN)","$36,500"
"Mica, John L (R-FL)","$36,500"
"Heck, Dennis (D-WA)","$36,400"
"Joyce, David P (R-OH)","$36,250"
"Harris, Andy (R-MD)","$36,019"
"Keating, Bill (D-MA)","$35,750"
"Kuster, Ann (D-NH)","$35,350"
"Fortenberry, Jeff (R-NE)","$34,750"
"Dent, Charlie (R-PA)","$34,500"
"Terry, Lee (R-NE)","$34,250"
"Bera, Ami (D-CA)","$33,900"
"Edwards, Donna (D-MD)","$33,700"
"Kennedy, Joe III (D-MA)","$33,500"
"Paulsen, Erik (R-MN)","$33,250"
"Griffith, Morgan (R-VA)","$33,000"
"Yoder, Kevin (R-KS)","$33,000"
"Guthrie, Brett (R-KY)","$32,500"
"Young, Todd (R-IN)","$32,500"
"Clarke, Yvette D (D-NY)","$32,000"
"Hultgren, Randy (R-IL)","$32,000"
"Valadao, David (R-CA)","$32,000"
"Hurt, Robert (R-VA)","$31,800"
"Tierney, John F (D-MA)","$31,250"
"Hensarling, Jeb (R-TX)","$31,000"
"Olson, Pete (R-TX)","$31,000"
"Black, Diane (R-TN)","$30,750"
"Goodlatte, Bob (R-VA)","$30,500"
"Richmond, Cedric (D-LA)","$30,500"
"Sanchez, Linda (D-CA)","$30,250"
"Chaffetz, Jason (R-UT)","$30,000"
"Stutzman, Marlin (R-IN)","$30,000"
"Barton, Joe (R-TX)","$29,600"
"Collins, Chris (R-NY)","$29,500"
"Ellmers, Renee (R-NC)","$29,500"
"Marchant, Kenny (R-TX)","$29,500"
"McKinley, David (R-WV)","$29,250"
"Nugent, Richard (R-FL)","$29,055"
"Himes, Jim (D-CT)","$29,000"
"Horsford, Steven (D-NV)","$29,000"
"Pastor, Ed (D-AZ)","$29,000"
"Sherman, Brad (D-CA)","$29,000"
"Stivers, Steve (R-OH)","$28,800"
"DeLauro, Rosa L (D-CT)","$28,500"
"Daines, Steven (R-MT)","$28,100"
"Bonamici, Suzanne (D-OR)","$28,000"
"Camp, Dave (R-MI)","$28,000"
"DelBene, Suzan (D-WA)","$28,000"
"Lujan, Ben Ray (D-NM)","$27,600"
"Graves, Tom (R-GA)","$27,500"
"Whitfield, Ed (R-KY)","$27,500"
"Ros-Lehtinen, Ileana (R-FL)","$27,200"
"Murphy, Patrick (D-FL)","$27,000"
"Butterfield, G K (D-NC)","$26,500"
"Cleaver, Emanuel (D-MO)","$26,500"
"Honda, Mike (D-CA)","$26,450"
"Cartwright, Matt (D-PA)","$26,250"
"Smith, Adrian (R-NE)","$26,000"
"Braley, Bruce (D-IA)","$25,751"
"Huizenga, Bill (R-MI)","$25,700"
