Candidate,Amount
"Hensarling, Jeb (R-TX)","$82,503"
"Price, David (D-NC)","$82,351"
"Miller, Jeff (R-FL)","$81,700"
"Griffin, Tim (R-AR)","$79,925"
"Thompson, Bennie G (D-MS)","$79,750"
"Farenthold, Blake (R-TX)","$78,798"
"Stewart, Chris (R-UT)","$78,300"
"Latham, Tom (R-IA)","$77,750"
"Roby, Martha (R-AL)","$76,630"
"Schultz, Debbie Wasserman (D-FL)","$76,450"
"Davis, Danny K (D-IL)","$76,350"
"Foxx, Virginia (R-NC)","$76,305"
"Duncan, Jeff (R-SC)","$76,200"
"McCollum, Betty (D-MN)","$75,450"
"Grimm, Michael (R-NY)","$75,315"
"Bonamici, Suzanne (D-OR)","$74,950"
"Kelly, Robin (D-IL)","$74,900"
"Jackson Lee, Sheila (D-TX)","$74,650"
"Keating, Bill (D-MA)","$74,350"
"Lee, Barbara (D-CA)","$74,125"
"Huffman, Jared (D-CA)","$73,850"
"McGovern, James P (D-MA)","$72,950"
"Jones, Walter B Jr (R-NC)","$72,650"
"King, Pete (R-NY)","$72,150"
"Sewell, Terri A (D-AL)","$72,050"
"Amash, Justin (R-MI)","$71,909"
"Kildee, Dan (D-MI)","$71,751"
"Meng, Grace (D-NY)","$71,450"
"DeSantis, Ron (R-FL)","$70,500"
"Schiff, Adam (D-CA)","$70,200"
"Williams, Roger (R-TX)","$69,330"
"Pocan, Mark (D-WI)","$69,325"
"Collins, Doug (R-GA)","$68,650"
"Takano, Mark (D-CA)","$68,650"
"Christian-Christensen, Donna (D-VI)","$68,648"
"Fudge, Marcia L (D-OH)","$68,500"
"Wittman, Rob (R-VA)","$68,275"
"Holt, Rush (D-NJ)","$67,900"
"Bishop, Sanford (D-GA)","$67,550"
"Conaway, Mike (R-TX)","$67,150"
"Hall, Ralph (R-TX)","$67,100"
"Schweikert, David (R-AZ)","$66,650"
"Ross, Dennis (R-FL)","$66,420"
"Beatty, Joyce (D-OH)","$66,350"
"Tsongas, Niki (D-MA)","$66,200"
"Webster, Daniel (R-FL)","$66,050"
"Beutler, Jaime Herrera (R-WA)","$65,800"
"Higgins, Brian M (D-NY)","$65,700"
"Poe, Ted (R-TX)","$65,471"
"Bass, Karen (D-CA)","$65,205"
"Bridenstine, James (R-OK)","$65,200"
"Graves, Tom (R-GA)","$64,950"
"Farr, Sam (D-CA)","$64,500"
"Enyart, William (D-IL)","$64,400"
"Hartzler, Vicky (R-MO)","$64,350"
"Collins, Chris (R-NY)","$63,700"
"Ros-Lehtinen, Ileana (R-FL)","$63,600"
"Rigell, Scott (R-VA)","$63,570"
"Doyle, Mike (D-PA)","$63,250"
"Roybal-Allard, Lucille (D-CA)","$62,748"
"Shuster, Bill (R-PA)","$62,670"
"Crawford, Rick (R-AR)","$62,597"
"Luetkemeyer, Blaine (R-MO)","$62,200"
"Slaughter, Louise M (D-NY)","$61,450"
"Delaney, John K (D-MD)","$60,800"
"Capuano, Michael E (D-MA)","$60,600"
"Smith, Adam (D-WA)","$60,596"
"Larsen, Rick (D-WA)","$60,359"
"Vela, Filemon (D-TX)","$60,293"
"Garrett, Scott (R-NJ)","$59,850"
"Dingell, John D (D-MI)","$59,750"
"Turner, Michael R (R-OH)","$59,550"
"Aderholt, Robert B (R-AL)","$59,544"
"Lowenthal, Alan (D-CA)","$59,510"
"Gohmert, Louis B Jr (R-TX)","$59,300"
"Costa, Jim (D-CA)","$58,550"
"Hultgren, Randy (R-IL)","$57,600"
"Mulvaney, Mick (R-SC)","$57,401"
"Sanford, Mark (R-SC)","$57,350"
"Thornberry, Mac (R-TX)","$57,075"
"Granger, Kay (R-TX)","$56,850"
"Visclosky, Pete (D-IN)","$56,450"
"Ryan, Tim (D-OH)","$56,331"
"Pittenger, Robert (R-NC)","$55,626"
"Mullin, Markwayne (R-OK)","$54,850"
"Hurt, Robert (R-VA)","$54,500"
"King, Steven A (R-IA)","$54,450"
"Titus, Dina (D-NV)","$54,445"
"Cleaver, Emanuel (D-MO)","$54,150"
"Rohrabacher, Dana (R-CA)","$53,200"
"Carter, John (R-TX)","$52,815"
"Brooks, Mo (R-AL)","$51,750"
"Tipton, Scott (R-CO)","$51,750"
"Cicilline, David (D-RI)","$51,300"
"Owens, Bill (D-NY)","$51,250"
"Forbes, Randy (R-VA)","$51,071"
"Barletta, Lou (R-PA)","$50,347"
"Chabot, Steve (R-OH)","$49,950"
"Nugent, Richard (R-FL)","$49,600"
"Andrews, Robert E (D-NJ)","$47,825"
"Cole, Tom (R-OK)","$47,550"
"Jeffries, Hakeem (D-NY)","$47,050"
"Davis, Susan (D-CA)","$46,875"
"Deutch, Ted (D-FL)","$46,750"
"Hanna, Richard (R-NY)","$46,500"
"Clay, William L Jr (D-MO)","$46,250"
"Cooper, Jim (D-TN)","$45,900"
"McCaul, Michael (R-TX)","$45,841"
"Cook, Paul (R-CA)","$45,350"
"Garamendi, John (D-CA)","$45,250"
"Mica, John L (R-FL)","$45,250"
"Runyan, Jon (R-NJ)","$44,750"
"Woodall, Rob (R-GA)","$44,350"
"Jordan, Jim (R-OH)","$43,629"
"Cohen, Steve (D-TN)","$42,100"
"McIntyre, Mike (D-NC)","$42,050"
"Johnson, Hank (D-GA)","$42,000"
"Velazquez, Nydia M (D-NY)","$41,750"
"Neugebauer, Randy (R-TX)","$41,700"
"Crenshaw, Ander (R-FL)","$41,200"
"Sarbanes, John (D-MD)","$41,005"
"Johnson, Eddie Bernice (D-TX)","$40,300"
"Massie, Thomas (R-KY)","$39,860"
"Brat, Dave (R-VA)","$39,700"
"Hunter, Duncan D (R-CA)","$39,400"
"Diaz-Balart, Mario (R-FL)","$39,250"
"Huelskamp, Tim (R-KS)","$39,100"
"Frankel, Lois J (D-FL)","$39,050"
"Womack, Steve (R-AR)","$38,230"
"Marchant, Kenny (R-TX)","$37,900"
"Westmoreland, Lynn A (R-GA)","$37,850"
"Radel, Trey (R-FL)","$37,600"
"Peterson, Collin (D-MN)","$37,500"
"Weber, Randy (R-TX)","$37,500"
"Gowdy, Trey (R-SC)","$37,450"
"Shea-Porter, Carol (D-NH)","$37,199"
"Palazzo, Steven (R-MS)","$36,950"
"Nolan, Rick (D-MN)","$36,250"
"Payne, Donald M Jr (D-NJ)","$36,250"
"Conyers, John Jr (D-MI)","$35,700"
"Maloney, Carolyn B (D-NY)","$35,650"
"Pearce, Steve (R-NM)","$35,500"
"Cartwright, Matt (D-PA)","$34,850"
"Meadows, Mark R (R-NC)","$34,750"
"Huizenga, Bill (R-MI)","$34,550"
"Amodei, Mark (R-NV)","$33,500"
"Lofgren, Zoe (D-CA)","$33,500"
"Quigley, Mike (D-IL)","$33,450"
"Fattah, Chaka (D-PA)","$33,050"
"Rush, Bobby L (D-IL)","$32,500"
"Pierluisi, Pedro (D-PR)","$31,250"
"Miller, Candice S (R-MI)","$31,050"
"Duncan, John J Jr (R-TN)","$30,800"
"Polis, Jared (D-CO)","$30,730"
"Sires, Albio (D-NJ)","$30,350"
"O'Rourke, Beto (D-TX)","$29,940"
"Smith, Chris (R-NJ)","$29,175"
"McAllister, Vance (R-LA)","$28,000"
"Clarke, Yvette D (D-NY)","$27,690"
"Moore, Gwen (D-WI)","$27,350"
"Hastings, Alcee L (D-FL)","$26,800"
"McClintock, Tom (R-CA)","$26,750"
"Kaptur, Marcy (D-OH)","$26,350"
"Michaud, Mike (D-ME)","$25,750"
"Meeks, Gregory W (D-NY)","$25,600"
"McCarthy, Carolyn (D-NY)","$25,050"
"Yoho, Ted (R-FL)","$25,010"
"Brown, Corrine (D-FL)","$25,000"
"Grayson, Alan (D-FL)","$24,599"
"Cramer, Kevin (R-ND)","$23,950"
"Franks, Trent (R-AZ)","$23,500"
"Clawson, Curt (R-FL)","$23,310"
"Grijalva, Raul M (D-AZ)","$23,000"
"Wilson, Frederica (D-FL)","$22,250"
"Calvert, Ken (R-CA)","$21,275"
"Lucas, Frank D (R-OK)","$20,750"
"Lamborn, Douglas L (R-CO)","$20,726"
"Nadler, Jerrold (D-NY)","$19,950"
"Miller, Gary (R-CA)","$19,300"
"Bishop, Rob (R-UT)","$19,000"
"Rooney, Tom (R-FL)","$18,950"
"Culberson, John (R-TX)","$18,900"
"Gibbs, Bob (R-OH)","$18,800"
"Sensenbrenner, Jim (R-WI)","$18,800"
"Waters, Maxine (D-CA)","$18,550"
"Moran, Jim (D-VA)","$18,500"
"DeFazio, Peter (D-OR)","$18,300"
"Alexander, Rodney (R-LA)","$18,000"
"Hahn, Janice (D-CA)","$17,650"
"Lummis, Cynthia (R-WY)","$17,600"
"Brady, Robert A (D-PA)","$17,100"
"Stockman, Steve (R-TX)","$16,700"
"Perry, Scott (R-PA)","$16,500"
"Edwards, Donna (D-MD)","$15,700"
"Gutierrez, Luis V (D-IL)","$15,500"
"McKeon, Buck (R-CA)","$15,350"
"Bentivolio, Kerry (R-MI)","$14,450"
"Lipinski, Daniel (D-IL)","$14,000"
"Young, Don (R-AK)","$13,250"
"Young, C W Bill (R-FL)","$12,350"
"Miller, George (D-CA)","$11,350"
"Labrador, Raul (R-ID)","$10,250"
"Scott, Bobby (D-VA)","$10,150"
"Petri, Tom (R-WI)","$9,850"
"Napolitano, Grace (D-CA)","$9,500"
"Green, Al (D-TX)","$8,950"
"LaMalfa, Doug (R-CA)","$8,600"
"Coble, Howard (R-NC)","$8,000"
"Pingree, Chellie (D-ME)","$7,458"
"Bachmann, Michele (R-MN)","$7,076"
"McLeod, Gloria (D-CA)","$7,000"
"Norton, Eleanor Holmes (D-DC)","$6,986"
"Hastings, Doc (R-WA)","$5,700"
"Campbell, John (R-CA)","$3,300"
"Faleomavaega, Eni F H (D-AS)","$3,000"
"Wolf, Frank (R-VA)","$1,900"
"Bonner, Jo (R-AL)","$1,750"
"Serrano, Jose E (D-NY)","$1,500"
"Bachus, Spencer (R-AL)","$1,000"
"Sablan, Gregorio (I-MP)",$750
"Emerson, Jo Ann (R-MO)","-$3,500"
"McConnell, Mitch (R-KY)","$1,702,764"
"Cornyn, John (R-TX)","$1,181,542"
"Alexander, Lamar (R-TN)","$848,392"
"Booker, Cory (D-NJ)","$837,671"
"Hagan, Kay R (D-NC)","$733,640"
"Wyden, Ron (D-OR)","$724,415"
"Udall, Mark (D-CO)","$720,613"
"Reid, Harry (D-NV)","$703,450"
"Roberts, Pat (R-KS)","$661,942"
"Pryor, Mark (D-AR)","$657,962"
"Markey, Ed (D-MA)","$653,415"
"Warner, Mark (D-VA)","$646,950"
"Schumer, Charles E (D-NY)","$577,700"
"Scott, Tim (R-SC)","$550,427"
"Landrieu, Mary L (D-LA)","$550,398"
"Toomey, Pat (R-PA)","$500,577"
"Collins, Susan M (R-ME)","$461,300"
"Begich, Mark (D-AK)","$440,201"
"Paul, Rand (R-KY)","$428,253"
"Durbin, Dick (D-IL)","$418,235"
"Enzi, Mike (R-WY)","$415,675"
"Portman, Rob (R-OH)","$407,015"
"Shaheen, Jeanne (D-NH)","$390,834"
"Franken, Al (D-MN)","$373,359"
"Graham, Lindsey (R-SC)","$368,563"
"Cochran, Thad (R-MS)","$308,659"
"Coons, Chris (D-DE)","$280,750"
"Murray, Patty (D-WA)","$271,544"
"Merkley, Jeff (D-OR)","$233,785"
"Udall, Tom (D-NM)","$221,547"
"Isakson, Johnny (R-GA)","$215,550"
"Bennet, Michael (D-CO)","$211,750"
"Mikulski, Barbara A (D-MD)","$206,910"
"Barrasso, John A (R-WY)","$191,450"
"Kirk, Mark (R-IL)","$188,525"
"Blunt, Roy (R-MO)","$184,450"
"Ayotte, Kelly (R-NH)","$175,850"
"Reed, Jack (D-RI)","$173,350"
"Brown, Sherrod (D-OH)","$168,250"
"Schatz, Brian (D-HI)","$151,700"
"Casey, Bob (D-PA)","$142,249"
"Stabenow, Debbie (D-MI)","$135,875"
"Menendez, Robert (D-NJ)","$128,300"
"Rubio, Marco (R-FL)","$126,432"
"Crapo, Mike (R-ID)","$124,700"
"Thune, John (R-SD)","$119,920"
"Hatch, Orrin G (R-UT)","$114,550"
"Moran, Jerry (R-KS)","$114,266"
"Donnelly, Joe (D-IN)","$112,650"
"Cruz, Ted (R-TX)","$111,882"
"Cardin, Ben (D-MD)","$107,909"
"Blumenthal, Richard (D-CT)","$102,400"
"Inhofe, James M (R-OK)","$97,203"
"Klobuchar, Amy (D-MN)","$97,100"
"Grassley, Chuck (R-IA)","$93,600"
"Burr, Richard (R-NC)","$88,699"
"Lee, Mike (R-UT)","$85,600"
"Coats, Dan (R-IN)","$84,250"
"Sessions, Jeff (R-AL)","$77,300"
"Walsh, John (D-MT)","$72,323"
"Baldwin, Tammy (D-WI)","$72,016"
"Johnson, Ron (R-WI)","$68,925"
"Heller, Dean (R-NV)","$61,150"
