Candidate,Amount
"Shimkus, John (R-IL)","$157,550"
"Rohrabacher, Dana (R-CA)","$157,132"
"Courtney, Joe (D-CT)","$155,000"
"Amash, Justin (R-MI)","$154,100"
"Long, Billy (R-MO)","$152,840"
"Schrader, Kurt (D-OR)","$152,733"
"Chaffetz, Jason (R-UT)","$152,593"
"Frelinghuysen, Rodney (R-NJ)","$150,400"
"Palazzo, Steven (R-MS)","$150,349"
"Tsongas, Niki (D-MA)","$149,700"
"Cramer, Kevin (R-ND)","$149,600"
"Chabot, Steve (R-OH)","$149,100"
"Gowdy, Trey (R-SC)","$149,100"
"Sarbanes, John (D-MD)","$149,100"
"Wenstrup, Brad (R-OH)","$148,861"
"Thornberry, Mac (R-TX)","$148,625"
"Meng, Grace (D-NY)","$145,849"
"Hanna, Richard (R-NY)","$145,552"
"Johnson, Bill (R-OH)","$144,200"
"Webster, Daniel (R-FL)","$143,925"
"Loebsack, David (D-IA)","$143,700"
"Barletta, Lou (R-PA)","$143,313"
"Rogers, Mike (R-MI)","$143,300"
"Scott, Austin (R-GA)","$143,190"
"Matheson, Jim (D-UT)","$143,100"
"Lewis, John (D-GA)","$142,900"
"Latham, Tom (R-IA)","$141,200"
"Hartzler, Vicky (R-MO)","$141,000"
"Wilson, Joe (R-SC)","$140,716"
"McClintock, Tom (R-CA)","$139,924"
"Rogers, Mike D (R-AL)","$138,640"
"Bachus, Spencer (R-AL)","$138,000"
"Nunnelee, Alan (R-MS)","$137,800"
"Nolan, Rick (D-MN)","$137,750"
"Bilirakis, Gus (R-FL)","$137,497"
"Turner, Michael R (R-OH)","$137,175"
"Foxx, Virginia (R-NC)","$136,960"
"Cuellar, Henry (D-TX)","$136,000"
"Garamendi, John (D-CA)","$135,772"
"Brat, Dave (R-VA)","$134,540"
"Thompson, Glenn (R-PA)","$134,440"
"Griffin, Tim (R-AR)","$133,750"
"Farenthold, Blake (R-TX)","$132,400"
"Enyart, William (D-IL)","$132,300"
"Aderholt, Robert B (R-AL)","$130,847"
"Clay, William L Jr (D-MO)","$130,500"
"Ros-Lehtinen, Ileana (R-FL)","$130,300"
"Peterson, Collin (D-MN)","$129,399"
"Bishop, Sanford (D-GA)","$128,690"
"Diaz-Balart, Mario (R-FL)","$127,723"
"Grisham, Michelle Lujan (D-NM)","$127,546"
"King, Steven A (R-IA)","$126,170"
"Kelly, Robin (D-IL)","$125,972"
"Takano, Mark (D-CA)","$125,916"
"Bass, Karen (D-CA)","$122,775"
"Ruppersberger, Dutch (D-MD)","$122,600"
"Weber, Randy (R-TX)","$122,150"
"Rahall, Nick (D-WV)","$122,050"
"Stewart, Chris (R-UT)","$121,900"
"Fudge, Marcia L (D-OH)","$120,900"
"Carter, John (R-TX)","$120,750"
"Culberson, John (R-TX)","$119,400"
"Gohmert, Louis B Jr (R-TX)","$119,288"
"Bucshon, Larry (R-IN)","$118,692"
"Pocan, Mark (D-WI)","$118,622"
"Schiff, Adam (D-CA)","$118,250"
"Welch, Peter (D-VT)","$117,612"
"Rooney, Tom (R-FL)","$117,600"
"Collins, Doug (R-GA)","$117,300"
"Miller, Candice S (R-MI)","$116,655"
"Jordan, Jim (R-OH)","$116,550"
"Smith, Adam (D-WA)","$116,000"
"Sanchez, Loretta (D-CA)","$115,440"
"Tierney, John F (D-MA)","$114,525"
"McCarthy, Carolyn (D-NY)","$114,300"
"Graves, Sam (R-MO)","$114,049"
"Capps, Lois (D-CA)","$113,190"
"McNerney, Jerry (D-CA)","$113,048"
"Langevin, Jim (D-RI)","$112,850"
"Lance, Leonard (R-NJ)","$112,475"
"Womack, Steve (R-AR)","$111,875"
"Walz, Tim (D-MN)","$111,500"
"Wittman, Rob (R-VA)","$109,550"
"Slaughter, Louise M (D-NY)","$108,805"
"Costa, Jim (D-CA)","$108,496"
"Chu, Judy (D-CA)","$107,275"
"Campbell, John (R-CA)","$106,650"
"Davis, Danny K (D-IL)","$106,050"
"Carson, Andre (D-IN)","$106,000"
"Lee, Barbara (D-CA)","$104,550"
"Hunter, Duncan D (R-CA)","$104,200"
"Clawson, Curt (R-FL)","$103,889"
"Collins, Chris (R-NY)","$103,250"
"Poe, Ted (R-TX)","$103,226"
"Harris, Andy (R-MD)","$102,640"
"Hinojosa, Ruben (D-TX)","$101,800"
"Latta, Robert E (R-OH)","$101,258"
"Marino, Tom (R-PA)","$100,750"
"Keating, Bill (D-MA)","$100,100"
"Green, Al (D-TX)","$99,825"
"Woodall, Rob (R-GA)","$99,690"
"Matsui, Doris O (D-CA)","$99,450"
"Owens, Bill (D-NY)","$98,650"
"Whitfield, Ed (R-KY)","$98,500"
"Hastings, Alcee L (D-FL)","$98,000"
"Burgess, Michael (R-TX)","$97,700"
"Doggett, Lloyd (D-TX)","$97,250"
"Thompson, Bennie G (D-MS)","$97,200"
"Titus, Dina (D-NV)","$95,700"
"Salmon, Matt (R-AZ)","$95,350"
"Lujan, Ben Ray (D-NM)","$94,850"
"Barton, Joe (R-TX)","$94,550"
"Rogers, Hal (R-KY)","$94,250"
"Richmond, Cedric (D-LA)","$93,000"
"Pitts, Joe (R-PA)","$92,550"
"Norton, Eleanor Holmes (D-DC)","$91,300"
"Schwartz, Allyson (D-PA)","$91,050"
"McKinley, David (R-WV)","$90,850"
"Larsen, Rick (D-WA)","$88,750"
"Calvert, Ken (R-CA)","$87,650"
"Crawford, Rick (R-AR)","$87,423"
"O'Rourke, Beto (D-TX)","$87,350"
"Higgins, Brian M (D-NY)","$85,700"
"Gibbs, Bob (R-OH)","$83,922"
"Cook, Paul (R-CA)","$83,600"
"Perry, Scott (R-PA)","$81,550"
"Miller, Jeff (R-FL)","$81,300"
"Hall, Ralph (R-TX)","$81,250"
"Grayson, Alan (D-FL)","$81,117"
"Schakowsky, Jan (D-IL)","$79,875"
"Mica, John L (R-FL)","$79,500"
"Johnson, Hank (D-GA)","$77,600"
"Meadows, Mark R (R-NC)","$74,950"
"Jones, Walter B Jr (R-NC)","$74,925"
"Cohen, Steve (D-TN)","$74,450"
"Sires, Albio (D-NJ)","$73,833"
"Huffman, Jared (D-CA)","$73,480"
"Yarmuth, John A (D-KY)","$73,100"
"Clarke, Yvette D (D-NY)","$72,805"
"Doyle, Mike (D-PA)","$72,500"
"Tonko, Paul (D-NY)","$72,400"
"LaMalfa, Doug (R-CA)","$71,450"
"DeGette, Diana (D-CO)","$71,142"
"Ryan, Tim (D-OH)","$71,000"
"Andrews, Robert E (D-NJ)","$69,511"
"Shea-Porter, Carol (D-NH)","$69,250"
"McIntyre, Mike (D-NC)","$68,000"
"Duncan, Jeff (R-SC)","$66,875"
"Visclosky, Pete (D-IN)","$66,100"
"Lamborn, Douglas L (R-CO)","$66,000"
"McCollum, Betty (D-MN)","$65,850"
"Scott, Bobby (D-VA)","$65,300"
"Bonamici, Suzanne (D-OR)","$65,100"
"Labrador, Raul (R-ID)","$65,100"
"Bentivolio, Kerry (R-MI)","$65,000"
"McDermott, Jim (D-WA)","$65,000"
"McGovern, James P (D-MA)","$64,154"
"Kaptur, Marcy (D-OH)","$63,900"
"Amodei, Mark (R-NV)","$62,699"
"Brooks, Mo (R-AL)","$62,100"
"Cummings, Elijah E (D-MD)","$61,950"
"Butterfield, G K (D-NC)","$60,766"
"DeLauro, Rosa L (D-CT)","$60,750"
"Castor, Kathy (D-FL)","$60,450"
"Massie, Thomas (R-KY)","$60,375"
"Waxman, Henry (D-CA)","$60,150"
"Brady, Robert A (D-PA)","$60,050"
"Huelskamp, Tim (R-KS)","$58,550"
"Payne, Donald M Jr (D-NJ)","$58,350"
"Lowenthal, Alan (D-CA)","$57,475"
"Bridenstine, James (R-OK)","$56,900"
"Vela, Filemon (D-TX)","$54,850"
"Roybal-Allard, Lucille (D-CA)","$54,450"
"Green, Gene (D-TX)","$53,450"
"Wilson, Frederica (D-FL)","$53,250"
"Davis, Susan (D-CA)","$52,100"
"Gutierrez, Luis V (D-IL)","$51,940"
"Desjarlais, Scott (R-TN)","$51,799"
"Sensenbrenner, Jim (R-WI)","$51,550"
"Yoho, Ted (R-FL)","$51,416"
"Jackson Lee, Sheila (D-TX)","$50,896"
"Cartwright, Matt (D-PA)","$49,500"
"Franks, Trent (R-AZ)","$48,250"
"Hahn, Janice (D-CA)","$47,450"
"Price, David (D-NC)","$46,750"
"Pingree, Chellie (D-ME)","$46,650"
"Lummis, Cynthia (R-WY)","$46,600"
"Moran, Jim (D-VA)","$45,700"
"Runyan, Jon (R-NJ)","$44,750"
"Miller, George (D-CA)","$43,584"
"Griffith, Morgan (R-VA)","$42,883"
"Nugent, Richard (R-FL)","$42,500"
"Brown, Corrine (D-FL)","$41,400"
"Grijalva, Raul M (D-AZ)","$41,250"
"Pierluisi, Pedro (D-PR)","$41,150"
"Roe, Phil (R-TN)","$39,150"
"Lipinski, Daniel (D-IL)","$37,600"
"Edwards, Donna (D-MD)","$37,150"
"Young, Don (R-AK)","$36,800"
"Farr, Sam (D-CA)","$36,000"
"Bishop, Rob (R-UT)","$35,850"
"Fattah, Chaka (D-PA)","$34,850"
"Radel, Trey (R-FL)","$32,750"
"Alexander, Rodney (R-LA)","$30,900"
"Stockman, Steve (R-TX)","$30,750"
"Rush, Bobby L (D-IL)","$29,350"
"Duncan, John J Jr (R-TN)","$28,750"
"McKeon, Buck (R-CA)","$28,600"
"Smith, Chris (R-NJ)","$27,750"
"Johnson, Eddie Bernice (D-TX)","$25,020"
"Gosar, Paul (R-AZ)","$24,550"
"DeFazio, Peter (D-OR)","$24,100"
"Serrano, Jose E (D-NY)","$24,000"
"Bachmann, Michele (R-MN)","$23,432"
"Dingell, John D (D-MI)","$21,700"
"Napolitano, Grace (D-CA)","$20,800"
"Adams, Alma (D-NC)","$20,650"
"Petri, Tom (R-WI)","$20,000"
"Conyers, John Jr (D-MI)","$19,400"
"Michaud, Mike (D-ME)","$19,250"
"McLeod, Gloria (D-CA)","$18,750"
"Sablan, Gregorio (I-MP)","$14,950"
"Bordallo, Madeleine Z (D-GU)","$13,550"
"Wolf, Frank (R-VA)","$12,550"
"McAllister, Vance (R-LA)","$12,050"
"Young, C W Bill (R-FL)","$11,000"
"Coble, Howard (R-NC)","$9,250"
"Christian-Christensen, Donna (D-VI)","$9,150"
"Hastings, Doc (R-WA)","$7,800"
"Bonner, Jo (R-AL)","$6,250"
"Pastor, Ed (D-AZ)","$5,500"
"Watt, Melvin L (D-NC)","$5,000"
"Faleomavaega, Eni F H (D-AS)","$2,600"
"Booker, Cory (D-NJ)","$4,537,684"
"McConnell, Mitch (R-KY)","$4,094,132"
"Warner, Mark (D-VA)","$2,916,537"
"Cornyn, John (R-TX)","$2,442,064"
"Schumer, Charles E (D-NY)","$2,020,341"
"Markey, Ed (D-MA)","$1,878,352"
"Graham, Lindsey (R-SC)","$1,679,258"
"Udall, Mark (D-CO)","$1,621,043"
"Landrieu, Mary L (D-LA)","$1,465,415"
"Scott, Tim (R-SC)","$1,460,754"
"Portman, Rob (R-OH)","$1,449,379"
"Hagan, Kay R (D-NC)","$1,373,177"
"Toomey, Pat (R-PA)","$1,353,984"
"Roberts, Pat (R-KS)","$1,127,749"
"Pryor, Mark (D-AR)","$1,025,328"
"Schatz, Brian (D-HI)","$1,013,996"
"Begich, Mark (D-AK)","$989,928"
"Collins, Susan M (R-ME)","$979,450"
"Alexander, Lamar (R-TN)","$973,200"
"Shaheen, Jeanne (D-NH)","$938,641"
"Franken, Al (D-MN)","$833,136"
"Coons, Chris (D-DE)","$825,117"
"Kirk, Mark (R-IL)","$811,225"
"Reed, Jack (D-RI)","$786,768"
"Durbin, Dick (D-IL)","$766,891"
"Rubio, Marco (R-FL)","$707,740"
"Cochran, Thad (R-MS)","$670,179"
"Udall, Tom (D-NM)","$665,255"
"Wyden, Ron (D-OR)","$648,450"
"Blunt, Roy (R-MO)","$622,300"
"Paul, Rand (R-KY)","$604,708"
"Cruz, Ted (R-TX)","$591,995"
"Enzi, Mike (R-WY)","$534,253"
"Merkley, Jeff (D-OR)","$477,887"
"Bennet, Michael (D-CO)","$463,595"
"McCain, John (R-AZ)","$457,150"
"Isakson, Johnny (R-GA)","$439,780"
"Crapo, Mike (R-ID)","$424,200"
"Reid, Harry (D-NV)","$415,234"
"Brown, Sherrod (D-OH)","$407,200"
"Ayotte, Kelly (R-NH)","$399,990"
"Tester, Jon (D-MT)","$338,750"
"Menendez, Robert (D-NJ)","$331,650"
"Inhofe, James M (R-OK)","$320,853"
"Johnson, Ron (R-WI)","$299,615"
"Thune, John (R-SD)","$298,324"
"Walsh, John (D-MT)","$274,718"
"Lee, Mike (R-UT)","$270,646"
"Risch, James E (R-ID)","$270,111"
"Moran, Jerry (R-KS)","$220,950"
"Blumenthal, Richard (D-CT)","$213,650"
"Murray, Patty (D-WA)","$211,323"
"Heller, Dean (R-NV)","$208,500"
"Baucus, Max (D-MT)","$208,330"
"Kaine, Tim (D-VA)","$206,950"
"Coats, Dan (R-IN)","$184,500"
"Sessions, Jeff (R-AL)","$182,650"
"Casey, Bob (D-PA)","$179,650"
"Hatch, Orrin G (R-UT)","$171,500"
"Heitkamp, Heidi (D-ND)","$165,638"
"Cardin, Ben (D-MD)","$162,400"
"Murphy, Christopher S (D-CT)","$150,800"
"Carper, Tom (D-DE)","$144,370"
"Gillibrand, Kirsten (D-NY)","$142,050"
"Donnelly, Joe (D-IN)","$140,300"
"Shelby, Richard C (R-AL)","$138,100"
"Klobuchar, Amy (D-MN)","$115,050"
