Candidate,Amount
"Specter, Arlen (D-PA)","$375,831"
"Grassley, Chuck (R-IA)","$338,356"
"Thune, John (R-SD)","$298,530"
"Cornyn, John (R-TX)","$287,875"
"McCain, John (R-AZ)","$283,935"
"Isakson, Johnny (R-GA)","$281,369"
"Bennet, Michael (D-CO)","$274,606"
"Boxer, Barbara (D-CA)","$263,199"
"Murray, Patty (D-WA)","$233,699"
"Brown, Scott (R-MA)","$226,610"
"DeMint, Jim (R-SC)","$214,194"
"Bayh, Evan (D-IN)","$207,899"
"Coburn, Tom (R-OK)","$206,050"
"Crapo, Mike (R-ID)","$204,560"
"Gillibrand, Kirsten (D-NY)","$199,150"
"Wyden, Ron (D-OR)","$179,591"
"Nelson, Ben (D-NE)","$166,400"
"Shelby, Richard C (R-AL)","$159,200"
"Schumer, Charles E (D-NY)","$146,000"
"Begich, Mark (D-AK)","$140,947"
"Landrieu, Mary L (D-LA)","$134,600"
"Bingaman, Jeff (D-NM)","$133,100"
"Graham, Lindsey (R-SC)","$111,872"
"Baucus, Max (D-MT)","$109,400"
"Feinstein, Dianne (D-CA)","$100,600"
"Udall, Mark (D-CO)","$97,050"
"Stabenow, Debbie (D-MI)","$91,746"
"Barrasso, John A (R-WY)","$89,500"
"Conrad, Kent (D-ND)","$84,250"
"Wicker, Roger (R-MS)","$83,950"
"Inouye, Daniel K (D-HI)","$82,000"
"Inhofe, James M (R-OK)","$73,479"
"Casey, Bob (D-PA)","$72,600"
"McConnell, Mitch (R-KY)","$69,900"
"McCaskill, Claire (D-MO)","$65,482"
"Webb, Jim (D-VA)","$61,900"
"Feingold, Russ (D-WI)","$60,010"
"Brown, Sherrod (D-OH)","$59,250"
"Cantwell, Maria (D-WA)","$58,200"
"Corker, Bob (R-TN)","$58,086"
"Menendez, Robert (D-NJ)","$52,900"
"Klobuchar, Amy (D-MN)","$52,750"
"Pryor, Mark (D-AR)","$52,700"
"Nelson, Bill (D-FL)","$50,385"
"Bunning, Jim (R-KY)","$47,800"
"Hatch, Orrin G (R-UT)","$44,350"
"Carper, Tom (D-DE)","$40,600"
"Johnson, Tim (D-SD)","$39,850"
"Warner, Mark (D-VA)","$39,000"
"Kerry, John (D-MA)","$38,325"
"Shaheen, Jeanne (D-NH)","$36,750"
"Mikulski, Barbara A (D-MD)","$35,350"
"Tester, Jon (D-MT)","$30,434"
"Rockefeller, Jay (D-WV)","$29,500"
"Durbin, Dick (D-IL)","$29,250"
"Leahy, Patrick (D-VT)","$29,200"
"Udall, Tom (D-NM)","$28,900"
"Lieberman, Joe (I-CT)","$28,500"
"Snowe, Olympia (R-ME)","$26,300"
"Whitehouse, Sheldon (D-RI)","$26,000"
"Dodd, Chris (D-CT)","$25,750"
"Merkley, Jeff (D-OR)","$23,550"
"Risch, James E (R-ID)","$23,050"
"Kyl, Jon (R-AZ)","$23,000"
"Chambliss, Saxby (R-GA)","$22,900"
"Harkin, Tom (D-IA)","$22,150"
"Coons, Chris (D-DE)","$19,450"
"Franken, Al (D-MN)","$18,690"
"Voinovich, George V (R-OH)","$17,600"
"Hagan, Kay R (D-NC)","$17,500"
"Alexander, Lamar (R-TN)","$16,750"
"Cardin, Ben (D-MD)","$15,000"
"Roberts, Pat (R-KS)","$14,000"
"Collins, Susan M (R-ME)","$10,750"
"Lugar, Richard G (R-IN)","$10,175"
"Ensign, John (R-NV)","$9,500"
"Enzi, Mike (R-WY)","$9,000"
"Sanders, Bernie (I-VT)","$7,700"
"Johanns, Mike (R-NE)","$7,300"
"Cochran, Thad (R-MS)","$6,500"
"Brownback, Sam (R-KS)","$4,300"
"Lautenberg, Frank (D-NJ)","$3,500"
"Sessions, Jeff (R-AL)","$2,250"
"Levin, Carl (D-MI)","$1,000"
"Kennedy, Edward M (D-MA)",-$200
"Biden, Joe (D-DE)",-$700
"Martinez, Mel (R-FL)","-$1,000"
"Bond, Christopher ""Kit"" (R-MO)","-$7,650"
"Hutchison, Kay Bailey (R-TX)","-$14,850"
"Salazar, Ken (D-CO)","-$16,750"
"Clinton, Hillary (D-NY)","-$22,970"
