Candidate,Amount
"Collins, Chris (R-NY)","$102,505"
"Sanchez, Linda (D-CA)","$101,124"
"Frelinghuysen, Rodney (R-NJ)","$100,550"
"Roskam, Peter (R-IL)","$100,115"
"Cicilline, David (D-RI)","$99,695"
"Boustany, Charles Jr (R-LA)","$99,136"
"Stefanik, Elise (R-NY)","$98,590"
"Neal, Richard E (D-MA)","$98,100"
"Burgess, Michael (R-TX)","$98,000"
"Smith, Jason (R-MO)","$97,695"
"Sessions, Pete (R-TX)","$96,300"
"Hudson, Richard (R-NC)","$95,750"
"McSally, Martha (R-AZ)","$94,965"
"Gabbard, Tulsi (D-HI)","$92,485"
"Bishop, Mike (R-MI)","$92,460"
"Renacci, Jim (R-OH)","$91,250"
"Curbelo, Carlos (R-FL)","$90,440"
"Rice, Kathleen (D-NY)","$90,055"
"Ellmers, Renee (R-NC)","$90,010"
"Esty, Elizabeth (D-CT)","$89,099"
"Rush, Bobby L (D-IL)","$88,500"
"Poliquin, Bruce (R-ME)","$88,250"
"Grayson, Alan (D-FL)","$86,411"
"Tonko, Paul (D-NY)","$85,900"
"Himes, Jim (D-CT)","$85,782"
"Crenshaw, Ander (R-FL)","$85,587"
"Price, Tom (R-GA)","$85,250"
"Denham, Jeff (R-CA)","$84,990"
"Bilirakis, Gus (R-FL)","$84,950"
"Mullin, Markwayne (R-OK)","$84,520"
"Johnson, Hank (D-GA)","$84,207"
"Young, David (R-IA)","$83,305"
"Jenkins, Lynn (R-KS)","$83,250"
"Polis, Jared (D-CO)","$82,720"
"Moulton, Seth (D-MA)","$81,625"
"Ashford, Brad (D-NE)","$81,375"
"Bustos, Cheri (D-IL)","$80,299"
"Thornberry, Mac (R-TX)","$79,175"
"Costello, Ryan (R-PA)","$79,050"
"Engel, Eliot L (D-NY)","$78,700"
"Ruppersberger, Dutch (D-MD)","$77,250"
"Royce, Ed (R-CA)","$77,137"
"Doyle, Mike (D-PA)","$76,775"
"Veasey, Marc (D-TX)","$76,300"
"Chabot, Steve (R-OH)","$75,450"
